Name,Year,Age,Status,AgeStatus,T,M,F
Merida,1790,50_up,Viudos,Viudos_50_up,5124,1635,3489
Mexico + CDMX,1790,Total,Pop,Pop_Total,1147973,574786,573187
Mexico + CDMX,1790,0_6,Pop,Pop_0_6,260360,137190,123170
Mexico + CDMX,1790,7_15,Pop,Pop_7_15,227236,119158,108078
Mexico + CDMX,1790,16_24,Pop,Pop_16_24,194931,89707,105224
Mexico + CDMX,1790,25_39,Pop,Pop_25_39,279154,134173,144981
Mexico + CDMX,1790,40_49,Pop,Pop_40_49,102007,51060,50947
Mexico + CDMX,1790,50_up,Pop,Pop_50_up,84285,43498,40787
Mexico + CDMX,1790,Total,Solteros,Solteros_Total,600216,320096,280120
Mexico + CDMX,1790,0_6,Solteros,Solteros_0_6,260360,137190,123170
Mexico + CDMX,1790,7_15,Solteros,Solteros_7_15,217135,115993,101142
Mexico + CDMX,1790,16_24,Solteros,Solteros_16_24,81533,46039,35494
Mexico + CDMX,1790,25_39,Solteros,Solteros_25_39,28561,15212,13349
Mexico + CDMX,1790,40_49,Solteros,Solteros_40_49,7589,3434,4155
Mexico + CDMX,1790,50_up,Solteros,Solteros_50_up,5038,2228,2810
Mexico + CDMX,1790,Total,Casados,Casados_Total,469074,233754,235320
Mexico + CDMX,1790,0_6,Casados,Casados_0_6,0,0,0
Mexico + CDMX,1790,7_15,Casados,Casados_7_15,9302,2844,6458
Mexico + CDMX,1790,16_24,Casados,Casados_16_24,109245,42411,66834
Mexico + CDMX,1790,25_39,Casados,Casados_25_39,225622,112797,112825
Mexico + CDMX,1790,40_49,Casados,Casados_40_49,73412,42406,31006
Mexico + CDMX,1790,50_up,Casados,Casados_50_up,51493,33296,18197
Mexico + CDMX,1790,Total,Viudos,Viudos_Total,78683,20936,57747
Mexico + CDMX,1790,0_6,Viudos,Viudos_0_6,0,0,0
Mexico + CDMX,1790,7_15,Viudos,Viudos_7_15,799,321,478
Mexico + CDMX,1790,16_24,Viudos,Viudos_16_24,4153,1257,2896
Mexico + CDMX,1790,25_39,Viudos,Viudos_25_39,24971,6164,18807
Mexico + CDMX,1790,40_49,Viudos,Viudos_40_49,21006,5220,15786
Mexico + CDMX,1790,50_up,Viudos,Viudos_50_up,27754,7974,19780
Mexico (No CDMX),1790,Total,Pop,Pop_Total,1043223,529308,513915
Mexico (No CDMX),1790,0_6,Pop,Pop_0_6,241978,128631,113347
Mexico (No CDMX),1790,7_15,Pop,Pop_7_15,210030,111525,98505
Mexico (No CDMX),1790,16_24,Pop,Pop_16_24,174104,81310,92794
Mexico (No CDMX),1790,25_39,Pop,Pop_25_39,249624,121764,127860
Mexico (No CDMX),1790,40_49,Pop,Pop_40_49,91378,46303,45075
Mexico (No CDMX),1790,50_up,Pop,Pop_50_up,76109,39775,36334
Mexico (No CDMX),1790,Total,Solteros,Solteros_Total,545739,295097,250642
Mexico (No CDMX),1790,0_6,Solteros,Solteros_0_6,241978,128631,113347
Mexico (No CDMX),1790,7_15,Solteros,Solteros_7_15,200578,108535,92043
Mexico (No CDMX),1790,16_24,Solteros,Solteros_16_24,71106,41220,29886
Mexico (No CDMX),1790,25_39,Solteros,Solteros_25_39,22816,12704,10112
Mexico (No CDMX),1790,40_49,Solteros,Solteros_40_49,5671,2499,3172
Mexico (No CDMX),1790,50_up,Solteros,Solteros_50_up,3590,1508,2082
Mexico (No CDMX),1790,Total,Casados,Casados_Total,432233,216015,216218
Mexico (No CDMX),1790,0_6,Casados,Casados_0_6,0,0,0
Mexico (No CDMX),1790,7_15,Casados,Casados_7_15,8906,2773,6133
Mexico (No CDMX),1790,16_24,Casados,Casados_16_24,100059,39061,60998
Mexico (No CDMX),1790,25_39,Casados,Casados_25_39,206830,103700,103130
Mexico (No CDMX),1790,40_49,Casados,Casados_40_49,68143,39271,28872
Mexico (No CDMX),1790,50_up,Casados,Casados_50_up,48295,31210,17085
Mexico (No CDMX),1790,Total,Viudos,Viudos_Total,65251,18196,47055
Mexico (No CDMX),1790,0_6,Viudos,Viudos_0_6,0,0,0
Mexico (No CDMX),1790,7_15,Viudos,Viudos_7_15,546,217,329
Mexico (No CDMX),1790,16_24,Viudos,Viudos_16_24,2939,1029,1910
Mexico (No CDMX),1790,25_39,Viudos,Viudos_25_39,19978,5360,14618
Mexico (No CDMX),1790,40_49,Viudos,Viudos_40_49,17564,4533,13031
Mexico (No CDMX),1790,50_up,Viudos,Viudos_50_up,24224,7057,17167
CDMX,1790,Total,Pop,Pop_Total,104750,45478,59272
CDMX,1790,0_6,Pop,Pop_0_6,18382,8559,9823
CDMX,1790,7_15,Pop,Pop_7_15,17206,7633,9573
CDMX,1790,16_24,Pop,Pop_16_24,20827,8397,12430
CDMX,1790,25_39,Pop,Pop_25_39,29530,12409,17121
CDMX,1790,40_49,Pop,Pop_40_49,10629,4757,5872
CDMX,1790,50_up,Pop,Pop_50_up,8176,3723,4453
CDMX,1790,Total,Solteros,Solteros_Total,54477,24999,29478
CDMX,1790,0_6,Solteros,Solteros_0_6,18382,8559,9823
CDMX,1790,7_15,Solteros,Solteros_7_15,16557,7458,9099
CDMX,1790,16_24,Solteros,Solteros_16_24,10427,4819,5608
CDMX,1790,25_39,Solteros,Solteros_25_39,5745,2508,3237
CDMX,1790,40_49,Solteros,Solteros_40_49,1918,935,983
CDMX,1790,50_up,Solteros,Solteros_50_up,1448,720,728
CDMX,1790,Total,Casados,Casados_Total,36841,17739,19102
CDMX,1790,0_6,Casados,Casados_0_6,0,0,0
CDMX,1790,7_15,Casados,Casados_7_15,396,71,325
CDMX,1790,16_24,Casados,Casados_16_24,9186,3350,5836
CDMX,1790,25_39,Casados,Casados_25_39,18792,9097,9695
CDMX,1790,40_49,Casados,Casados_40_49,5269,3135,2134
CDMX,1790,50_up,Casados,Casados_50_up,3198,2086,1112
CDMX,1790,Total,Viudos,Viudos_Total,13432,2740,10692
CDMX,1790,0_6,Viudos,Viudos_0_6,0,0,0
CDMX,1790,7_15,Viudos,Viudos_7_15,253,104,149
CDMX,1790,16_24,Viudos,Viudos_16_24,1214,228,986
CDMX,1790,25_39,Viudos,Viudos_25_39,4993,804,4189
CDMX,1790,40_49,Viudos,Viudos_40_49,3442,687,2755
CDMX,1790,50_up,Viudos,Viudos_50_up,3530,917,2613
Nuevo Mexico,1790,Total,Pop,Pop_Total,30953,16039,14914
Nuevo Mexico,1790,0_6,Pop,Pop_0_6,7679,4116,3563
Nuevo Mexico,1790,7_15,Pop,Pop_7_15,6828,3675,3153
Nuevo Mexico,1790,16_24,Pop,Pop_16_24,5040,2770,2270
Nuevo Mexico,1790,25_39,Pop,Pop_25_39,5945,2814,3131
Nuevo Mexico,1790,40_49,Pop,Pop_40_49,3437,1775,1662
Nuevo Mexico,1790,50_up,Pop,Pop_50_up,2024,889,1135
Nuevo Mexico,1790,Total,Solteros,Solteros_Total,19531,10643,8888
Nuevo Mexico,1790,0_6,Solteros,Solteros_0_6,7679,4116,3563
Nuevo Mexico,1790,7_15,Solteros,Solteros_7_15,6735,3675,3060
Nuevo Mexico,1790,16_24,Solteros,Solteros_16_24,3034,1869,1165
Nuevo Mexico,1790,25_39,Solteros,Solteros_25_39,1177,567,610
Nuevo Mexico,1790,40_49,Solteros,Solteros_40_49,502,278,224
Nuevo Mexico,1790,50_up,Solteros,Solteros_50_up,404,138,266
Nuevo Mexico,1790,Total,Casados,Casados_Total,9732,4866,4866
Nuevo Mexico,1790,0_6,Casados,Casados_0_6,0,0,0
Nuevo Mexico,1790,7_15,Casados,Casados_7_15,93,0,93
Nuevo Mexico,1790,16_24,Casados,Casados_16_24,1721,811,910
Nuevo Mexico,1790,25_39,Casados,Casados_25_39,4060,2027,2033
Nuevo Mexico,1790,40_49,Casados,Casados_40_49,2471,1351,1120
Nuevo Mexico,1790,50_up,Casados,Casados_50_up,1387,677,710
Nuevo Mexico,1790,Total,Viudos,Viudos_Total,1690,530,1160
Nuevo Mexico,1790,0_6,Viudos,Viudos_0_6,0,0,0
Nuevo Mexico,1790,7_15,Viudos,Viudos_7_15,0,0,0
Nuevo Mexico,1790,16_24,Viudos,Viudos_16_24,285,90,195
Nuevo Mexico,1790,25_39,Viudos,Viudos_25_39,708,220,488
Nuevo Mexico,1790,40_49,Viudos,Viudos_40_49,464,146,318
Nuevo Mexico,1790,50_up,Viudos,Viudos_50_up,233,74,159
Oaxaca,1790,Total,Pop,Pop_Total,411336,206981,204355
Oaxaca,1790,0_6,Pop,Pop_0_6,77170,45577,31593
Oaxaca,1790,7_15,Pop,Pop_7_15,74922,40692,34230
Oaxaca,1790,16_24,Pop,Pop_16_24,76468,33635,42833
Oaxaca,1790,25_39,Pop,Pop_25_39,111433,49697,61736
Oaxaca,1790,40_49,Pop,Pop_40_49,39960,19995,19965
Oaxaca,1790,50_up,Pop,Pop_50_up,31383,17385,13998
Oaxaca,1790,Total,Solteros,Solteros_Total,225060,119511,105549
Oaxaca,1790,0_6,Solteros,Solteros_0_6,77170,45577,31593
Oaxaca,1790,7_15,Solteros,Solteros_7_15,74289,40568,33821
Oaxaca,1790,16_24,Solteros,Solteros_16_24,44923,21340,23583
Oaxaca,1790,25_39,Solteros,Solteros_25_39,19127,7990,11137
Oaxaca,1790,40_49,Solteros,Solteros_40_49,6022,2712,3310
Oaxaca,1790,50_up,Solteros,Solteros_50_up,3429,1324,2105
Oaxaca,1790,Total,Casados,Casados_Total,152007,77949,74058
Oaxaca,1790,0_6,Casados,Casados_0_6,0,0,0
Oaxaca,1790,7_15,Casados,Casados_7_15,533,124,409
Oaxaca,1790,16_24,Casados,Casados_16_24,29825,12026,17799
Oaxaca,1790,25_39,Casados,Casados_25_39,79417,39016,40401
Oaxaca,1790,40_49,Casados,Casados_40_49,25020,15068,9952
Oaxaca,1790,50_up,Casados,Casados_50_up,17212,11715,5497
Oaxaca,1790,Total,Viudos,Viudos_Total,34269,9521,24748
Oaxaca,1790,0_6,Viudos,Viudos_0_6,0,0,0
Oaxaca,1790,7_15,Viudos,Viudos_7_15,0,0,0
Oaxaca,1790,16_24,Viudos,Viudos_16_24,1720,269,1451
Oaxaca,1790,25_39,Viudos,Viudos_25_39,12889,2691,10198
Oaxaca,1790,40_49,Viudos,Viudos_40_49,8918,2215,6703
Oaxaca,1790,50_up,Viudos,Viudos_50_up,10742,4346,6396
Puebla,1790,Total,Pop,Pop_Total,528463,257944,270519
Puebla,1790,0_6,Pop,Pop_0_6,96452,48968,47484
Puebla,1790,7_15,Pop,Pop_7_15,105287,52142,53145
Puebla,1790,16_24,Pop,Pop_16_24,86509,37446,49063
Puebla,1790,25_39,Pop,Pop_25_39,119657,57402,62255
Puebla,1790,40_49,Pop,Pop_40_49,57184,28906,28278
Puebla,1790,50_up,Pop,Pop_50_up,63374,33080,30294
Puebla,1790,Total,Solteros,Solteros_Total,275804,136676,139128
Puebla,1790,0_6,Solteros,Solteros_0_6,96452,48968,47484
Puebla,1790,7_15,Solteros,Solteros_7_15,102493,51183,51310
Puebla,1790,16_24,Solteros,Solteros_16_24,47484,21675,25809
