ID,ID_orig,Name,Phase,Type,Subtype,Collection,Tracing,East,North,Region,SurvReg,Reg
1441,1463,Tl. 93,,Structure,Tlatel,,,512802.2575,2158389.427,Texcoco II,TX,TX-II
1730,1752,Tl. 93,Tol-Az,Structure,Tlatel,,,502888.6615,2144346.353,Texcoco III,TX,TX-III
1011,1011,Tl. 94,,Structure,Tlatel,,,515828.982,2166261.116,Texcoco I,TX,TX-I
1011,1011,Tl. 94,,Structure,Tlatel,,,515828.982,2166261.116,Texcoco I,TX,TX-I
1443,1465,Tl. 94,,Structure,Tlatel,,,513517.003,2157460.873,Texcoco II,TX,TX-II
1014,1014,Tl. 95,,Structure,Tlatel,,,515502.1425,2166832.291,Texcoco I,TX,TX-I
1014,1014,Tl. 95,,Structure,Tlatel,,,515502.1425,2166832.291,Texcoco I,TX,TX-I
1444,1466,Tl. 95,,Structure,Tlatel,,,513361.492,2157556.035,Texcoco II,TX,TX-II
1720,1742,Tl. 95,Tol-Az,Structure,Tlatel,,,503087.0655,2144182.519,Texcoco III,TX,TX-III
527,527,Tl. 96,,Structure,Tlatel,,,516153.269,2157824.293,Texcoco II,TX,TX-II
1016,1016,Tl. 96,,Structure,Tlatel,,,515920.874,2167789.493,Texcoco I,TX,TX-I
1016,1016,Tl. 96,,Structure,Tlatel,,,515920.874,2167789.493,Texcoco I,TX,TX-I
533,533,Tl. 97,,Structure,Tlatel,,,517438.0115,2157412.936,Texcoco II,TX,TX-II
1017,1017,Tl. 97,,Structure,Tlatel,,,515983.645,2167690.907,Texcoco I,TX,TX-I
1017,1017,Tl. 97,,Structure,Tlatel,,,515983.645,2167690.907,Texcoco I,TX,TX-I
354,354,Tl. 98,,Structure,Tlatel,,,503500.195,2144000.993,Texcoco III,TX,TX-III
1019,1019,Tl. 98,,Structure,Tlatel,,,516020.67,2166740.627,Texcoco I,TX,TX-I
1019,1019,Tl. 98,,Structure,Tlatel,,,516020.67,2166740.627,Texcoco I,TX,TX-I
1421,1443,Tl. 98,,Structure,Tlatel,,,517686.2845,2157384.762,Texcoco II,TX,TX-II
355,355,Tl. 99,,Structure,Tlatel,,,502929.0695,2144004.249,Texcoco III,TX,TX-III
1032,1032,Tl. 99,,Structure,Tlatel,,,516062.38,2166305.074,Texcoco I,TX,TX-I
1032,1032,Tl. 99,,Structure,Tlatel,,,516062.38,2166305.074,Texcoco I,TX,TX-I
1422,1444,Tl. 99,,Structure,Tlatel,,,517744.4115,2157364.028,Texcoco II,TX,TX-II
2365,1682,Tl. 1,,Structure,Tlatel,TRUE,Strip_III_Map_A,504360.0065,2148274.409,Texcoco III,TX,TX-III
2586,1424,Tl. 1,,Structure,Tlatel,TRUE,Strip_II_Map_A,509819.4895,2157438.193,Texcoco II,TX,TX-II
2820,1691,Tl. 10,,Structure,Tlatel,TRUE,Strip_III_Map_B,506707.045,2146366.857,Texcoco III,TX,TX-III
3622,1518,Tl. 10,,Structure,Tlatel,TRUE,Strip_I_Map_1b,510433.505,2163437.158,Texcoco I,TX,TX-I
